Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.05  1284.04      0.14     7044     0.02     0.04  BinData::AcceptedParametersPlugin#default_parameters
  0.05  1284.18      0.14     6783     0.02     0.07  BinData::IO.create_string_io
  0.05  1284.32      0.14    68989     0.00     0.00  Array#length
  0.05  1284.46      0.14    54217     0.00     0.00  Fixnum#-
  0.05  1284.60      0.14    21181     0.01     0.01  Array#compact
  0.05  1284.74      0.14     3126     0.04     0.61  IPAddr#to_s
  0.05  1284.88      0.14     5658     0.02     0.11  Trema::Logger#output
  0.05  1285.01      0.13     2630     0.05     0.43  Pio::OpenFlow10::Match::Wildcards#set
  0.05  1285.14      0.13     1702     0.08     0.16  Gem::Requirement#initialize
  0.05  1285.27      0.13     3132     0.04     0.30  BinData::Uint32be#assign
  0.05  1285.40      0.13      524     0.25    11.37  Trema::Switch#read_openflow_binary
  0.05  1285.53      0.13       79     1.65     1.65  #<BinData::Struct:0x00000003c7ff80>.octets
  0.05  1285.66      0.13     5428     0.02     0.04  BinData::SanitizedParameters#create_sanitized_endian
  0.05  1285.79      0.13    31498     0.00     0.00  Array#<<
  0.04  1285.91      0.12     3772     0.03     0.03  Logger#add
  0.04  1286.03      0.12    34868     0.00     0.00  Array#pop
  0.04  1286.15      0.12    16834     0.01     0.01  Hash#initialize
  0.04  1286.27      0.12    30915     0.00     0.00  Symbol#==
  0.04  1286.39      0.12     2666     0.05     0.22  Gem::Specification#initialize
  0.04  1286.51      0.12    10155     0.01     0.01  String#split
  0.04  1286.63      0.12     3124     0.04     0.15  Pio::Mac#inspect
  0.04  1286.75      0.12    44805     0.00     0.00  StringIO#write
  0.04  1286.87      0.12     1568     0.08     0.80  BinData::MultiFieldArgSeparator#field_names_in_parameters?
  0.04  1286.99      0.12     8654     0.01     0.08  Hash#each_pair
  0.04  1287.10      0.11    29764     0.00     0.00  Fixnum#inspect
  0.04  1287.21      0.11    44279     0.00     0.01  Fixnum#===
  0.04  1287.32      0.11    12001     0.01     0.02  BinData::Base#lazy_evaluator
  0.04  1287.43      0.11       79     1.39     1.39  #<BinData::Struct:0x00000003c73f00>.octets
  0.04  1287.54      0.11     5224     0.02     3.09  BasicObject#instance_exec
  0.04  1287.65      0.11     4984     0.02     0.10  BinData::SanitizedFields#has_field_name?
  0.04  1287.76      0.11     1181     0.09     0.81  Bundler::SpecSet#for
  0.04  1287.87      0.11     2085     0.05     0.08  BinData::Uint32be#value_to_binary_string
  0.04  1287.98      0.11    15651     0.01     0.01  Regexp#match
  0.04  1288.09      0.11    27835     0.00     0.00  String#to_i
  0.04  1288.20      0.11    48990     0.00     0.00  Fixnum#+
  0.04  1288.31      0.11     5224     0.02     0.47  BinData::MultiFieldArgSeparator#separate_args
  0.04  1288.42      0.11     1563     0.07     0.15  BinData::IO::Read#accumulate_big_endian_bits
  0.04  1288.53      0.11    54290     0.00     0.00  BinData::IO::Read#buffer_limited_n
  0.04  1288.63      0.10     1041     0.10     3.80  Pio::OpenFlow::Actions10#set
  0.04  1288.73      0.10     2084     0.05     0.18  IPAddr#<=>
  0.04  1288.83      0.10     1042     0.10     1.30  Pio::IPv4Address#prefixlen
  0.04  1288.93      0.10     4286     0.02     0.02  Module#extend_object
  0.04  1289.03      0.10     1088     0.09     0.65  BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.04  1289.13      0.10     2090     0.05     0.11  BinData::IO::Read#read_all_bytes
  0.04  1289.23      0.10     1048     0.10     0.90  BinData::BasePrimitive::AssertPlugin#assert!
  0.04  1289.33      0.10    38161     0.00     0.00  Fixnum#*
  0.04  1289.43      0.10    11456     0.01     0.31  Pio::IPv4Address#==
  0.04  1289.53      0.10     2084     0.05     0.34  BinData::IO::Read#readbits
  0.04  1289.63      0.10     4175     0.02     0.03  Pio::Mac#validate_value_range
  0.04  1289.73      0.10    21569     0.00     0.00  Kernel#freeze
  0.03  1289.82      0.09     2676     0.03     0.03  Array#&
  0.03  1289.91      0.09     4280     0.02     0.12  BinData::DSLMixin::DSLFieldValidator#option?
  0.03  1290.00      0.09     7996     0.01     0.02  BinData::SanitizedParameters#ensure_no_nil_values
  0.03  1290.09      0.09     3153     0.03     0.08  Array#hash
  0.03  1290.18      0.09     2606     0.03    20.05  BinData::Base#write
  0.03  1290.27      0.09    22106     0.00     0.00  BinData::DSLMixin::DSLParser#parser_abilities
  0.03  1290.36      0.09    27334     0.00     0.00  Integer#chr
  0.03  1290.45      0.09     5210     0.02     0.51  Pio::Type::IpAddress#get
  0.03  1290.53      0.08    19891     0.00     0.01  BinData::AcceptedParametersPlugin#accepted_parameters
  0.03  1290.61      0.08    21479     0.00     0.00  BinData::Struct#initialize_instance
  0.03  1290.69      0.08     1562     0.05     0.92  Pio::OpenFlow::Port#set
  0.03  1290.77      0.08     3126     0.03     2.83  Pio::Type::MacAddress#set
  0.03  1290.85      0.08     6253     0.01     0.10  BinData::Primitive#respond_to?
  0.03  1290.93      0.08      523     0.15   323.33  Trema::Controller#maybe_send_handler
  0.03  1291.01      0.08     1366     0.06     0.08  BinData::Registry#underscore_name
  0.03  1291.09      0.08    17527     0.00     0.00  Kernel#kind_of?
  0.03  1291.17      0.08    23978     0.00     0.00  Array#initialize_copy
  0.03  1291.25      0.08     5218     0.02     0.07  BinData::BasePrimitive#hash
  0.03  1291.32      0.07     1043     0.07     6.04  Pio::OpenFlow10::Match::Wildcards#source_ip_address
  0.03  1291.39      0.07     6292     0.01     3.39  Enumerable#each_with_object
  0.03  1291.46      0.07     6783     0.01     0.01  StringIO#initialize
  0.03  1291.53      0.07     4168     0.02     0.02  BinData::IO::Read#mask
  0.03  1291.60      0.07     6775     0.01     0.01  BinData::Struct::Snapshot#method_missing
  0.03  1291.67      0.07     4948     0.01     0.29  Enumerable#inject
  0.03  1291.74      0.07     1567     0.04    62.94  BinData::Struct#assign
  0.03  1291.81      0.07    21156     0.00     0.00  Hash#has_key?
  0.03  1291.88      0.07     1123     0.06     0.19  Gem::Dependency#hash
  0.03  1291.95      0.07     6786     0.01     6.19  Pio::OpenFlow10::Match#initialize
  0.03  1292.02      0.07    23578     0.00     0.00  Fixnum#<<
  0.03  1292.09      0.07    22148     0.00     0.00  BinData::Framework#initialize_shared_instance
